,0,1,2,3
130,"(5, 0.9768892)",,,
131,"(5, 0.97347105)",,,
132,"(5, 0.9718614)",,,
133,"(5, 0.6689724)","(8, 0.30137938)",,
134,"(5, 0.35666308)","(9, 0.61368716)",,
135,"(4, 0.33500537)","(5, 0.6373813)",,
136,"(5, 0.96537066)",,,
137,"(3, 0.028577713)","(9, 0.9657016)",,
138,"(3, 0.997759)",,,
139,"(7, 0.9666537)",,,
140,"(3, 0.99472827)",,,
141,"(3, 0.80175716)","(8, 0.1969448)",,
142,"(7, 0.98845494)",,,
143,"(7, 0.35621774)","(8, 0.64166224)",,
144,"(7, 0.85712844)","(8, 0.14187087)",,
145,"(7, 0.94373864)",,,
146,"(7, 0.99633133)",,,
147,"(7, 0.93570364)",,,
148,"(7, 0.9756661)",,,
149,"(7, 0.18929406)","(8, 0.808126)",,
150,"(8, 0.99052)",,,
151,"(7, 0.16259621)","(8, 0.8353331)",,
152,"(7, 0.9861485)",,,
153,"(7, 0.9902124)",,,
154,"(3, 0.9985425)",,,
155,"(7, 0.98293555)",,,
156,"(3, 0.7343098)","(8, 0.25725517)",,
157,"(8, 0.997806)",,,
158,"(3, 0.01123088)","(7, 0.6147707)","(8, 0.372845)",
159,"(7, 0.6154092)","(8, 0.36755183)",,
160,"(7, 0.99487746)",,,
161,"(7, 0.9909844)",,,
162,"(7, 0.98694175)",,,
163,"(7, 0.976307)",,,
164,"(3, 0.94492424)","(7, 0.050899662)",,
165,"(7, 0.97952086)",,,
166,"(7, 0.99472636)",,,
167,"(7, 0.93570364)",,,
168,"(7, 0.9790577)",,,
169,"(7, 0.99512756)",,,
170,"(7, 0.9960115)",,,
171,"(7, 0.99824077)",,,
172,"(7, 0.069154665)","(9, 0.9201656)",,
173,"(7, 0.99050754)",,,
174,"(7, 0.97270644)",,,
175,"(3, 0.65141124)","(8, 0.3425784)",,
176,"(8, 0.9921602)",,,
177,"(7, 0.5842145)","(9, 0.4105842)",,
178,"(7, 0.9982543)",,,
179,"(7, 0.98859745)",,,
180,"(8, 0.9923773)",,,
181,"(7, 0.57809305)","(8, 0.41868564)",,
182,"(8, 0.99661696)",,,
183,"(3, 0.9895223)",,,
184,"(3, 0.99141157)",,,
185,"(7, 0.14965142)","(9, 0.82928294)",,
186,"(3, 0.21350142)","(8, 0.783968)",,
187,"(2, 0.9919576)",,,
188,"(7, 0.97629124)",,,
189,"(8, 0.99195635)",,,
190,"(7, 0.09010272)","(8, 0.9037767)",,
191,"(7, 0.99798167)",,,
192,"(7, 0.93570364)",,,
193,"(3, 0.94099635)","(8, 0.057446778)",,
194,"(3, 0.99438626)",,,
195,"(8, 0.9790433)",,,
196,"(2, 0.6095369)","(3, 0.16948618)","(7, 0.215035)",
197,"(7, 0.9981392)",,,
198,"(7, 0.478892)","(9, 0.5029099)",,
199,"(8, 0.9699859)",,,
