care.virtue,care.vice,authority.virtue,fairness.vice,fairness.virtue,loyalty.vice,loyalty.virtue,sanctity.virtue,authority.vice,sanctity.vice,moral_nonmoral_ratio,f_var
0.1,0.3,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.1,0.05361930294906166,0.015000000000000001
0.11428571428571428,0.2,0.37142857142857144,0.0,0.05714285714285714,0.0,0.2571428571428571,0.0,0.0,0.0,0.049019607843137254,0.017823129251700685
0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.03482587064676617,0.022902494331065764
0.0625,0.1875,0.125,0.0,0.0,0.0,0.4375,0.0625,0.0625,0.0625,0.04395604395604396,0.017534722222222226
0.05263157894736842,0.42105263157894735,0.05263157894736842,0.0,0.02631578947368421,0.02631578947368421,0.3684210526315789,0.02631578947368421,0.0,0.02631578947368421,0.09693877551020408,0.024592182209910742
0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.013937282229965157,0.05833333333333335
0.045454545454545456,0.13636363636363635,0.22727272727272727,0.0,0.0,0.0,0.4090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.06962025316455696,0.01735537190082645
0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.03278688524590164,0.013580246913580247
0.0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.04225352112676056,0.02318244170096022
0.0,0.25,0.4375,0.0,0.1875,0.0,0.0,0.0625,0.0,0.0625,0.05228758169934641,0.021875000000000006
0.3333333333333333,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.038461538461538464,0.020438957475994515
0.034482758620689655,0.034482758620689655,0.1724137931034483,0.0,0.0,0.034482758620689655,0.4482758620689655,0.0,0.13793103448275862,0.13793103448275862,0.09206349206349207,0.019143876337693225
0.05714285714285714,0.08571428571428572,0.2,0.0,0.02857142857142857,0.0,0.5142857142857142,0.0,0.02857142857142857,0.08571428571428572,0.109717868338558,0.02489795918367347
0.0,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.0,0.05,0.01735537190082645
0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.45454545454545453,0.0,0.18181818181818182,0.0,0.07333333333333333,0.022865013774104683
0.0,0.2222222222222222,0.3333333333333333,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.04054054054054054,0.014951989026063102
0.027777777777777776,0.2222222222222222,0.1111111111111111,0.0,0.0,0.027777777777777776,0.2777777777777778,0.05555555555555555,0.2777777777777778,0.0,0.11145510835913312,0.01340877914951989
0.1,0.0,0.2,0.1,0.0,0.0,0.4,0.1,0.1,0.0,0.036101083032490974,0.015555555555555557
0.05555555555555555,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.08780487804878048,0.024554183813443077
0.058823529411764705,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,0.0,0.47058823529411764,0.0,0.17647058823529413,0.0,0.08095238095238096,0.021568627450980395
0.0,0.13043478260869565,0.043478260869565216,0.0,0.043478260869565216,0.0,0.43478260869565216,0.043478260869565216,0.21739130434782608,0.08695652173913043,0.0696969696969697,0.018504515858013017
0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.03365384615384615,0.03650793650793652
0.0,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.09090909090909091,0.0,0.039285714285714285,0.015518824609733703
0.125,0.0,0.5,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.03404255319148936,0.027083333333333338
0.044444444444444446,0.06666666666666667,0.1111111111111111,0.0,0.08888888888888889,0.08888888888888889,0.4444444444444444,0.044444444444444446,0.0,0.1111111111111111,0.09394572025052192,0.016268861454046643
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024096385542168676,0.0963855421686747,0.24096385542168675,0.0,0.14457831325301204,0.0,0.18072289156626506,0.25301204819277107,0.024096385542168676,0.03614457831325301,0.11976911976911978,0.009711133691392074
0.0,0.09523809523809523,0.3333333333333333,0.0,0.09523809523809523,0.0,0.0,0.42857142857142855,0.047619047619047616,0.0,0.11413043478260869,0.023910304862685815
0.0,0.08695652173913043,0.043478260869565216,0.0,0.21739130434782608,0.0,0.2608695652173913,0.0,0.34782608695652173,0.043478260869565216,0.04821802935010482,0.016404116782188612
0.14285714285714285,0.16666666666666666,0.11904761904761904,0.21428571428571427,0.09523809523809523,0.0,0.16666666666666666,0.07142857142857142,0.0,0.023809523809523808,0.13592233009708737,0.00564373897707231
0.0,0.21052631578947367,0.21052631578947367,0.0,0.05263157894736842,0.0,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.0,0.059006211180124224,0.010126192674669127
0.0,0.0847457627118644,0.23728813559322035,0.03389830508474576,0.15254237288135594,0.0,0.3559322033898305,0.03389830508474576,0.0847457627118644,0.01694915254237288,0.11281070745697896,0.013690191196654856
0.16666666666666666,0.4375,0.0625,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.10416666666666667,0.0,0.0625,0.09302325581395349,0.01666666666666667
0.02564102564102564,0.11538461538461539,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.01282051282051282,0.08974358974358974,0.5897435897435898,0.01282051282051282,0.0,0.20689655172413793,0.031039520783110532
